Typology,Slope,Dist. to source,Upstream area,Valley depth,Underground ratio,Sinuosity,Road barrier,Impervious cover,Riparian width,Riparian tree density,Edge density,Open space ratio,Stream entrances,Slow-mobility length,Programme POIs,Transit stops
1,0.016,2919.0,13.37,18.7,0.14,1.067,0.029,27.43,61.3,0.053,358.2,0.08,7.24,21310.0,1.33,10.76
2,0.012,1974.0,13.46,16.8,0.259,1.067,0.008,13.88,91.3,0.1,365.1,0.169,3.07,14837.0,0.1,5.94
3,0.011,1469.0,13.36,15.4,0.147,1.045,0.002,1.24,86.5,0.038,184.1,0.347,0.73,4668.0,0.0,0.84
4,0.017,2418.0,12.33,14.2,0.069,1.174,0.006,0.35,109.5,0.276,190.4,0.031,2.19,8896.0,0.05,0.73
5,0.079,759.0,12.84,43.4,0.079,1.085,0.008,3.3,106.6,0.209,272.8,0.099,2.46,9182.0,0.08,2.77
